raw_city,raw_state,standardized_city,standardized_state,match_method
itaeté,BA,Itaeté,BA,municipio
itagi,BA,Itagi,BA,municipio
itagiba,BA,Itagibá,BA,municipio
itagibá,BA,Itagibá,BA,municipio
itagimirim,BA,Itagimirim,BA,municipio
itaguacu da bahia,BA,Itaguaçu da Bahia,BA,municipio
itaguaçu da bahia,BA,Itaguaçu da Bahia,BA,municipio
itaju do colonia,BA,Itaju do Colônia,BA,municipio
itaju do colônia,BA,Itaju do Colônia,BA,municipio
itajuipe,BA,Itajuípe,BA,municipio
itajuípe,BA,Itajuípe,BA,municipio
itamaraju,BA,Itamaraju,BA,municipio
itamari,BA,Itamari,BA,municipio
itambe,BA,Itambé,BA,municipio
itambé,BA,Itambé,BA,municipio
itamira,BA,Aporá,BA,distrito
itanagra,BA,Itanagra,BA,municipio
itanhem,BA,Itanhém,BA,municipio
itanhém,BA,Itanhém,BA,municipio
itaparica,BA,Itaparica,BA,municipio
itape,BA,Itapé,BA,municipio
itapebi,BA,Itapebi,BA,municipio
itapetinga,BA,Itapetinga,BA,municipio
itapicuru,BA,Itapicuru,BA,municipio
itapitanga,BA,Itapitanga,BA,municipio
itapé,BA,Itapé,BA,municipio
itaquara,BA,Itaquara,BA,municipio
itaquarai,BA,Brumado,BA,distrito
itarantim,BA,Itarantim,BA,municipio
itatim,BA,Itatim,BA,municipio
itirucu,BA,Itiruçu,BA,municipio
itiruçu,BA,Itiruçu,BA,municipio
itiuba,BA,Itiúba,BA,municipio
itiúba,BA,Itiúba,BA,municipio
itororo,BA,Itororó,BA,municipio
itororó,BA,Itororó,BA,municipio
ituacu,BA,Ituaçu,BA,municipio
ituaçu,BA,Ituaçu,BA,municipio
itubera,BA,Ituberá,BA,municipio
ituberá,BA,Ituberá,BA,municipio
itupeva,BA,Medeiros Neto,BA,distrito
iuiu,BA,Iuiu,BA,municipio
jaborandi,BA,Jaborandi,BA,municipio
jacaraci,BA,Jacaraci,BA,municipio
jacobina,BA,Jacobina,BA,municipio
jacuipe,BA,São Sebastião do Passé,BA,distrito
jaguaquara,BA,Jaguaquara,BA,municipio
jaguarari,BA,Jaguarari,BA,municipio
jaguaripe,BA,Jaguaripe,BA,municipio
jandaira,BA,Jandaíra,BA,municipio
jandaíra,BA,Jandaíra,BA,municipio
jaua,BA,Camaçari,BA,manual_review
jequie,BA,Jequié,BA,municipio
jequirica,BA,Jiquiriçá,BA,fuzzy
jequiriçá,BA,Jiquiriçá,BA,fuzzy
jequié,BA,Jequié,BA,municipio
jeremoabo,BA,Jeremoabo,BA,municipio
